S2B_MSIL2A_20230814T174909_N0510_R141_T13TEH_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-105.00024679052603 43.35285539234588, -105.00024288390158 42.36407192041621, -103.66698539119554 42.35632239007374, -103.64555267001923 43.34483481646455, -105.00024679052603 43.35285539234588))'
S2B_MSIL2A_20230814T174909_N0510_R141_T14ULV_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-100.26116064573395 49.64577785957274, -101.76906793701309 49.619596875011254, -101.71462894820279 48.63303181535822, -100.73141635835377 48.64985280588121, -100.71681761649359 48.6812790866836, -100.64930007071122 48.82604572240516, -100.58176567152368 48.97079905719195, -100.5138257777256 49.11544435382599, -100.44545559264604 49.25996128768372, -100.37680247465119 49.40448222551235, -100.30768996206777 49.548967148924646, -100.26116064573395 49.64577785957274))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TEK_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-105.00025443963811 45.15383725089235, -105.00025015292684 44.16536649550738, -103.62710599954544 44.157116557384406, -103.60358882685108 45.145299673094094, -105.00025443963811 45.15383725089235))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TEG_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-103.6843836648617 41.51410450158884, -103.66510843311784 42.44491772432881, -105.00024322601921 42.45269119915018, -105.00023949430313 41.463751887157464, -103.70592006326869 41.45635807956826, -103.6843836648617 41.51410450158884))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TFH_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-102.99185660762281 43.33325939894492, -103.76618786223798 43.346200009839855, -103.78571286582209 42.35764145317536, -103.37058884812987 42.35083068318649, -103.3402490030784 42.430563122845214, -103.28510993619015 42.57653159107652, -103.22859885360067 42.72219880592911, -103.17247318862131 42.868044039774205, -103.1162552721746 43.01396324890633, -103.05949811821785 43.15980315512289, -103.00266559228253 43.30566970653711, -102.99185660762281 43.33325939894492))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TEM_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-105.00026284243779 46.953709179213256, -105.00025812995321 45.965551148516354, -103.58334389839345 45.956769859075806, -103.55749190205454 46.94462144140276, -105.00026284243779 46.953709179213256))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TEF_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-103.6843979450295 41.514066211593416, -103.68379957458713 41.54431153543986, -105.00023981916343 41.551844670066835, -105.00023625343321 40.56274991351036, -104.0344265870991 40.55733074464317, -103.99098977680141 40.677458756140574, -103.93808823295998 40.8236426875719, -103.88512947236244 40.96982053905864, -103.83165557823366 41.11595349803632, -103.77781411132362 41.26209273393003, -103.7238575129441 41.408261665332525, -103.6843979450295 41.514066211593416))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TEL_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-105.00025853973813 46.05357436995249, -105.00025404640142 45.06525999447365, -103.60574612901158 45.05674859305782, -103.58109585564667 46.044766226835556, -105.00025853973813 46.05357436995249))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TFG_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-103.33710113605073 42.43889640365963, -103.78400297732625 42.44624086265282, -103.80265404258907 41.457520191909595, -103.70606747757603 41.45596281158324, -103.66937053346199 41.554359822152406, -103.61492335779869 41.70050233038983, -103.55999423349576 41.84656685309636, -103.50567760330787 41.99272207060992, -103.450718339653 42.138687133276896, -103.39576359822425 42.28467199847936, -103.3402490030784 42.430563122845214, -103.33710113605073 42.43889640365963))'
S2B_MSIL2A_20230814T174909_N0510_R141_T13TFF_20241020T214841.SAFE	geography'SRID=4326;POLYGON ((-103.67340858832902 41.54353242120598, -103.80103038521031 41.545593768972765, -103.80759650310377 41.181255858049425, -103.77781411132362 41.26209273393003, -103.7238575129441 41.408261665332525, -103.67340858832902 41.54353242120598))'
