S2B_MSIL2A_20250814T171859_N0511_R012_T14TNQ_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-98.91682329052018 44.1648652615685, -97.62710599954542 44.157116557384406, -97.60358882685108 45.145299673094094, -98.58589481893189 45.15130434146446, -98.62513071742455 45.03571143470738, -98.67472606875354 44.889019726993055, -98.72407370616664 44.74229342603267, -98.77327783386032 44.59556002585267, -98.82209556188045 44.4487480115542, -98.87109883260298 44.301930399833466, -98.91682329052018 44.1648652615685))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14SMF_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.12493526264659 37.04124978452211, -100.11068371215597 36.05157871290146, -98.8916315425469 36.05667498554276, -98.8902406792213 37.04653228101576, -100.12493526264659 37.04124978452211))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TNM_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-99.00024322601921 42.45269119915018, -99.00023949430312 41.463751887157464, -97.68558188065235 41.45624189757688, -97.66510843311782 42.44491772432881, -99.00024322601921 42.45269119915018))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TNL_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-99.00023981916341 41.551844670066835, -99.0002362534332 40.56274991351036, -97.70336265383867 40.5554731412015, -97.68379957458711 41.54431153543986, -99.00023981916341 41.551844670066835))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14SLJ_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.60304207277494 38.74818292351398, -100.03810488537859 38.75625435897602, -100.05279562809639 39.74549354563108, -100.30895418350508 39.74175615675703, -100.35212259299628 39.59676015460194, -100.39579114752705 39.44954064327322, -100.4394585599284 39.3023466562652, -100.48297440226541 39.155082260200935, -100.5265092619453 39.00782495696506, -100.5699945337324 38.86046237325382, -100.60304207277494 38.74818292351398))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TNK_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-99.00023656389149 40.650856515774606, -99.00023315577859 39.66160695799293, -97.72035792136309 39.6545573069827, -97.70165933840751 40.64355721409192, -99.00023656389149 40.650856515774606))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TMM_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-99.7846618751664 41.4594565159516, -98.88312689683454 41.46369251697452, -98.88130582637643 42.452629745736225, -99.47340606422436 42.449794231532685, -99.49172621841 42.39212383599229, -99.53838184450723 42.24504755008184, -99.584994126028 42.0980253896058, -99.63125545637314 41.950952145725054, -99.67736232203363 41.80386609931181, -99.72338259281166 41.656831498709415, -99.76908479199363 41.509781798202525, -99.7846618751664 41.4594565159516))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14SMG_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.13852907879905 37.9420809165272, -100.12362950841454 36.95256487264268, -98.89036811332885 36.957830487987216, -98.88891399416781 37.94753713280259, -100.13852907879905 37.9420809165272))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14SLF_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-101.23474294810967 36.551377753906735, -101.21991719169928 36.03616769808406, -100.0014519629642 36.05254100905861, -100.01430253846532 37.042247242200354, -101.09983382555038 37.0273186424187, -101.12355309426272 36.94410288668731, -101.16546003649744 36.79656211980056, -101.20730562650323 36.64903548344693, -101.23474294810967 36.551377753906735))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TNR_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-98.61589728138182 45.062914066800396, -97.60574612901156 45.05674859305782, -97.58109585564665 46.044766226835556, -98.27667499324247 46.049083392627594, -98.32315633072253 45.915544463275, -98.37406391274078 45.768933184955685, -98.42475577368131 45.622299276149214, -98.47522216199552 45.475652225876566, -98.52541424118812 45.329002321504376, -98.5753569812521 45.182349872091685, -98.61589728138182 45.062914066800396))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14SLH_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.86645802574684 37.84319555642571, -100.02533655911799 37.85497766278228, -100.03938428014581 38.84437393595428, -100.57699496227725 38.836678324948494, -100.61337492525216 38.71307692094924, -100.65644519851568 38.56563544243254, -100.69956014883296 38.41823146909624, -100.74261484753568 38.270817497163726, -100.78540723820392 38.12340386954333, -100.82815018007548 37.97605538741991, -100.86645802574684 37.84319555642571))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TNP_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-99.000249119848 43.913669904016416, -99.00024643448813 43.26479037737325, -97.64750596751658 43.256794294201605, -97.62505994125075 44.24514241182411, -98.88750886027674 44.25273916139149, -98.92008515387089 44.15508739275321, -98.96901264757992 44.0082480480526, -99.000249119848 43.913669904016416))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14SMH_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.15275135075291 38.843310058483205, -100.13717219597591 37.85395064837389, -98.88904641935848 37.85938968525829, -98.88752596186193 38.84894433319432, -100.15275135075291 38.843310058483205))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TPS_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-97.68596471962562 46.94616825397537, -97.70951593127273 45.95826451839171, -96.29374566695486 45.93349650488509, -96.24441508393578 46.920536388192055, -97.68596471962562 46.94616825397537))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TMP_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-99.21278386389012 43.26310792704022, -98.87974009973617 43.26472716389879, -98.87774350913473 44.25335216097235, -98.88732017806136 44.25330476140333, -98.92008515387089 44.15508739275321, -98.96901264757992 44.0082480480526, -99.01752117456704 43.86137338138096, -99.06583338174416 43.714490347071774, -99.11397648701517 43.56759963468768, -99.16220093217784 43.42081030199902, -99.20932599253152 43.273794540260056, -99.21278386389012 43.26310792704022))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TMK_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.17527527512279 40.186439360201696, -100.16613169555372 39.655752572676114, -98.88622008547372 39.66155122739065, -98.88455693238029 40.65079881136531, -100.03532394930927 40.64547836627614, -100.04090673597356 40.62719586645792, -100.08599014169592 40.48000190464237, -100.13086044246701 40.33278503527611, -100.17527527512279 40.186439360201696))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14SMJ_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.16762472753088 39.74439520181332, -100.15133248212537 38.755193805393134, -98.88766443792474 38.760810475743604, -98.88607436984347 39.750212021802014, -100.16762472753088 39.74439520181332))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TML_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.06232786756763 40.55725746727571, -98.88470843547175 40.5626923872254, -98.88296836561119 41.55178511688993, -99.757309416339 41.547669810034854, -99.76908479199363 41.509781798202525, -99.81460617965962 41.36271468317627, -99.86012942740402 41.21567649624426, -99.90543767244044 41.06857280833797, -99.95079740650372 40.921530848107565, -99.99595441908035 40.77440563370276, -100.04090673597356 40.62719586645792, -100.06232786756763 40.55725746727571))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TMN_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-99.50158475576468 42.361045975079755, -98.88147277912853 42.364010656318975, -98.8795663539466 43.352791985217806, -99.18447977911767 43.35130711985044, -99.20932599253152 43.273794540260056, -99.25684830781442 43.12692597573798, -99.30424882160396 42.98002438566219, -99.35139450585777 42.83309962138518, -99.39828930746164 42.686170034182645, -99.44500735117587 42.539191132767805, -99.49172621841 42.39212383599229, -99.50158475576468 42.361045975079755))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TLK_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-100.33546473531086 39.65271131882876, -100.05144935754969 39.656847486720984, -100.06528753659167 40.54759436835206, -100.08599014169592 40.48000190464237, -100.13086044246701 40.33278503527611, -100.17554480576243 40.185551264017306, -100.21999086275964 40.03832812469192, -100.26418528642013 39.891106109074215, -100.30829800879648 39.74396014598392, -100.33546473531086 39.65271131882876))'
S2B_MSIL2A_20250814T171859_N0511_R012_T14TNS_20250814T205709.SAFE	geography'SRID=4326;POLYGON ((-98.30724528838957 45.961256219287584, -97.58334389839344 45.956769859075806, -97.55749190205454 46.94462144140276, -97.95962520633954 46.94715440206333, -97.96180440267112 46.941089511648, -98.01411469340243 46.794636692719806, -98.06611468858003 46.64815629001927, -98.11790090358072 46.501665883384376, -98.16947840872311 46.35519282577885, -98.22095253923533 46.20873911603423, -98.27212088294476 46.062167160141165, -98.30724528838957 45.961256219287584))'
S2C_MSIL2A_20250814T162921_N0511_R083_T16TDK_20250814T212815.SAFE	geography'SRID=4326;POLYGON ((-87.75474316641808 39.65761637328171, -86.88622008547372 39.66155122739065, -86.88455693238029 40.65079881136531, -87.4554350861326 40.6481594188341, -87.46269868949635 40.62441697488844, -87.50766994276611 40.477230395374846, -87.55245861346401 40.33003903350777, -87.59706823377473 40.182813889724045, -87.64149732460726 40.03558236406555, -87.68575147925763 39.8883432200448, -87.72987658815312 39.7411154715948, -87.75474316641808 39.65761637328171))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TEF_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-103.6846660038233 41.50051687082745, -103.68379957458713 41.54431153543986, -105.00023981916343 41.551844670066835, -105.00023625343321 40.56274991351036, -104.02922887526078 40.557301580223765, -104.02447682878173 40.57055836719884, -104.01624515950944 40.59352685196696, -104.01606010686947 40.594038501475886, -104.01598661402684 40.59424352450401, -103.96316365742547 40.740415115506494, -103.91036110617296 40.886634110865245, -103.85715040755596 41.032774511837424, -103.80351689820228 41.178891408649584, -103.74964190828352 41.32504888155861, -103.6956521429288 41.47124293617971, -103.6846660038233 41.50051687082745))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TFM_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-103.68596471962562 46.94616825397537, -103.70951593127273 45.95826451839171, -102.29374566695488 45.93349650488509, -102.24441508393578 46.920536388192055, -103.68596471962562 46.94616825397537))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TFH_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-102.9864072926574 43.33316833008493, -103.76618786223798 43.346200009839855, -103.78571286582209 42.35764145317536, -103.36543332114042 42.350746098563576, -103.3111148720772 42.493500953168, -103.25532268352973 42.63935955035681, -103.1989331277899 42.78509851275408, -103.14287351180856 42.93098569633677, -103.08638992066528 43.076857970582815, -103.02945701308596 43.22270695126062, -102.9864072926574 43.33316833008493))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TEM_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-105.00026284243779 46.953709179213256, -105.00025812995321 45.965551148516354, -103.58334389839345 45.956769859075806, -103.55749190205454 46.94462144140276, -105.00026284243779 46.953709179213256))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TGK_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-102.269822008048 45.12019943574055, -102.45736864275568 45.12552488296481, -102.47981691243193 44.607368698945756, -102.45054595018831 44.67962278973136, -102.391164188672 44.825149190102486, -102.33154779003792 44.970678938915206, -102.27149301530696 45.11615885992629, -102.269822008048 45.12019943574055))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TGL_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-101.89873315698846 46.009438106424454, -102.41645116040287 46.024365075689296, -102.46129313653579 45.03703440306415, -102.30597377942115 45.03263079971447, -102.27149301530696 45.11615885992629, -102.21132180132666 45.261655745484525, -102.15101324334977 45.40715690084292, -102.09040690667656 45.55255412956623, -102.03578224788289 45.68293584369232, -102.02990112196368 45.69699421187589, -102.02132168842176 45.71751872449779, -101.9688496969952 45.84319334786928, -101.90762924262916 45.988482042410105, -101.89873315698846 46.009438106424454))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TFG_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-103.33192436149291 42.43881132768781, -103.78400297732625 42.44624086265282, -103.80265404258907 41.457520191909595, -103.70132337410116 41.45588631674757, -103.6956521429288 41.47124293617971, -103.64084123865732 41.617293410711056, -103.58605548307091 41.76338576330556, -103.53141176922524 41.90953617845119, -103.47695221145152 42.05571059356548, -103.42185840090445 42.201662069864334, -103.36663866835242 42.34757831360347, -103.33192436149291 42.43881132768781))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TFK_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-102.34025311873404 44.949428337947914, -102.33237892318715 45.122671880514964, -103.72795903223157 45.14675285555784, -103.74938307519848 44.158520786393645, -102.66749681931178 44.14017291535418, -102.62626803440529 44.24285606525048, -102.56777572167043 44.38844938657641, -102.50950678508444 44.53408054612751, -102.45054595018831 44.67962278973136, -102.391164188672 44.825149190102486, -102.34025311873404 44.949428337947914))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TFL_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-103.7074679641667 46.046265456303395, -103.72992432822252 45.05819732058294, -102.33649579223146 45.034190140253024, -102.28945585240228 46.02142174250963, -103.7074679641667 46.046265456303395))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TEN_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-105.0002673576574 47.85370184248753, -105.00026241255061 46.86569987335423, -103.55985017558999 46.85663988190739, -103.53272262323178 47.844325046514086, -105.0002673576574 47.85370184248753))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TFF_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-103.66855224675756 41.54345398155776, -103.80103038521031 41.545593768972765, -103.80785196055359 41.16708114551567, -103.80351689820228 41.178891408649584, -103.74964190828352 41.32504888155861, -103.6956521429288 41.47124293617971, -103.66855224675756 41.54345398155776))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TEH_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-105.00024679052603 43.35285539234588, -105.00024288390158 42.36407192041621, -103.66698539119554 42.35632239007374, -103.64555267001923 43.34483481646455, -105.00024679052603 43.35285539234588))'
S2B_MSIL2A_20250813T174909_N0511_R141_T13TEG_20250813T214502.SAFE	geography'SRID=4326;POLYGON ((-103.68466498033708 41.50051959803381, -103.66510843311784 42.44491772432881, -105.00024322601921 42.45269119915018, -105.00023949430313 41.463751887157464, -103.70115919483987 41.45633088307853, -103.6956521429288 41.47124293617971, -103.68466498033708 41.50051959803381))'
S2C_MSIL2A_20250813T165911_N0511_R069_T15TWF_20250813T220414.SAFE	geography'SRID=4326;POLYGON ((-93.00023981916341 41.551844670066835, -93.00023625343321 40.56274991351036, -91.70336265383867 40.5554731412015, -91.68379957458711 41.54431153543986, -93.00023981916341 41.551844670066835))'
S2C_MSIL2A_20250813T165911_N0511_R069_T15TVF_20250813T220414.SAFE	geography'SRID=4326;POLYGON ((-94.19944910163338 41.54558876800179, -94.18162029219913 40.556706911840905, -92.88470843547175 40.5626923872254, -92.88296836561119 41.55178511688993, -94.19944910163338 41.54558876800179))'
S2C_MSIL2A_20250813T165911_N0511_R069_T15TXF_20250813T220414.SAFE	geography'SRID=4326;POLYGON ((-91.08829734493827 41.53408170209406, -91.8010303852103 41.545593768972765, -91.81885207154319 40.55671174263467, -91.44786792204152 40.550836275649054, -91.43339056302544 40.59106723277637, -91.38065376839869 40.73725762071077, -91.32764443883597 40.88346789105192, -91.27432256308872 41.029711816101695, -91.22051431793751 41.175912316215445, -91.166641393508 41.32215339500739, -91.1126776673722 41.468369050837936, -91.08829734493827 41.53408170209406))'
S2C_MSIL2A_20250813T165911_N0511_R069_T15STC_20250813T220414.SAFE	geography'SRID=4326;POLYGON ((-95.84431082562426 37.82344430382659, -95.16175219508035 37.83959549435291, -95.19134725642267 38.82843976082239, -95.55427432385413 38.81966360737023, -95.575948362819 38.74581333231565, -95.61920520525776 38.59844864995806, -95.66226854970385 38.45110840399434, -95.70520169330425 38.30372810568808, -95.74808618478224 38.15635741652833, -95.79079354125936 38.008957570167695, -95.83333228265673 37.8615649400371, -95.84431082562426 37.82344430382659))'
S2C_MSIL2A_20250813T165911_N0511_R069_T14SQH_20250813T220414.SAFE	geography'SRID=4326;POLYGON ((-95.84650262147008 37.815833762761805, -95.48163775999416 37.80685703267152, -95.43354720329413 38.79452724007538, -95.56071314887359 38.79772450319651, -95.575948362819 38.74581333231565, -95.61920520525776 38.59844864995806, -95.66226854970385 38.45110840399434, -95.70520169330425 38.30372810568808, -95.74808618478224 38.15635741652833, -95.79079354125936 38.008957570167695, -95.83333228265673 37.8615649400371, -95.84650262147008 37.815833762761805))'
S2C_MSIL2A_20250813T165911_N0511_R069_T15TVG_20250813T220414.SAFE	geography'SRID=4326;POLYGON ((-94.2164833149824 42.44623570214159, -94.19782479530706 41.4575152063026, -92.88312689683454 41.46369251697452, -92.88130582637643 42.452629745736225, -94.2164833149824 42.44623570214159))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14SKJ_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-102.49897689950004 39.6975094680204, -102.45026011044494 38.7099201955759, -101.18865192655385 38.74036995699254, -101.21960079191267 39.7290432642928, -102.49897689950004 39.6975094680204))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14SMH_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-99.60223548594873 38.84576160398835, -100.15275135075291 38.843310058483205, -100.13717219597591 37.85395064837389, -99.941196660549 37.85480466339833, -99.90292672025502 37.96809426003929, -99.8531337992964 38.114656064982654, -99.80309252363816 38.26127605027455, -99.7528757896849 38.40790493248178, -99.70259628047295 38.554508763496194, -99.65228344755634 38.70105858230152, -99.60223548594873 38.84576160398835))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14TMK_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-98.96390899123325 40.650431935824365, -100.18317260660315 40.64479480422486, -100.16613169555372 39.655752572676114, -99.31795957419804 39.65959522652151, -99.29457566464048 39.72568911911433, -99.24289804887528 39.87212012164128, -99.19082800399104 40.01850572983119, -99.1386069532502 40.1649116774999, -99.08620902333216 40.31130198354799, -99.03356107211224 40.45763628404752, -98.98075251524729 40.603875349058285, -98.96390899123325 40.650431935824365))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14TPQ_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-97.23361798882581 45.13822291574874, -97.72795903223157 45.14675285555784, -97.74938307519847 44.158520786393645, -97.63124713967544 44.15651730137079, -97.59292847409094 44.25247107363873, -97.53454277864016 44.39806966339434, -97.47597740776531 44.543606554720654, -97.41713051025584 44.68908365116575, -97.35799177680713 44.83458333502702, -97.29852460370272 44.98008944098336, -97.23881588767763 45.12565403283444, -97.23361798882581 45.13822291574874))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14SLH_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-101.30393084279649 38.82627262441358, -101.27281842761563 37.837503416034735, -100.02533655911799 37.85497766278228, -100.03938428014581 38.84437393595428, -101.30393084279649 38.82627262441358))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14TKM_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-102.31998169136392 41.41459757853867, -101.27696656733475 41.441212166985935, -101.3124072413961 42.42936087235922, -102.00700396140466 42.4112956885593, -102.04575782688607 42.289338288745135, -102.09215515529311 42.14235498305632, -102.13834011061837 41.995375504047246, -102.18441147016573 41.84840424349426, -102.23040059804454 41.7014680237199, -102.2763229209212 41.554475335735376, -102.31998169136392 41.41459757853867))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14TKK_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-102.54546370146345 40.59640146890937, -102.49451264760637 39.609013147606916, -101.21676465654707 39.64044856303257, -101.24913477999112 40.62894899386581, -102.54546370146345 40.59640146890937))'
S2C_MSIL2A_20250812T172921_N0511_R055_T13TGE_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-102.64515460530446 40.35464175823042, -102.6698144654414 39.63822758400475, -101.39224764301619 39.60554763793313, -101.33965430802601 40.59281342227294, -102.56292090653702 40.624747095731614, -102.59353682203903 40.524384456532026, -102.63832644444648 40.37721967967608, -102.64515460530446 40.35464175823042))'
S2C_MSIL2A_20250812T172921_N0511_R055_T13TGF_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-102.58958692276899 40.537332699588426, -101.34444498559898 40.50488583658978, -101.28942535132569 41.49194363396281, -102.28756062510882 41.51847100391695, -102.32221616986945 41.40743856240772, -102.36758422965964 41.26021889033338, -102.41312962872944 41.113064447902566, -102.45866765285852 40.96593958737864, -102.50358810128672 40.81869621515994, -102.54864411506493 40.671548128722, -102.58958692276899 40.537332699588426))'
S2C_MSIL2A_20250812T172921_N0511_R055_T14TKL_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-102.54948023180675 40.66880723786468, -102.54082260253305 40.50846282585221, -101.24618611840133 40.54090999482793, -101.28005188450415 41.52923550071836, -102.29227646495718 41.50336198699782, -102.32221616986945 41.40743856240772, -102.36758422965964 41.26021889033338, -102.41312962872944 41.113064447902566, -102.45866765285852 40.96593958737864, -102.50358810128672 40.81869621515994, -102.54864411506493 40.671548128722, -102.54948023180675 40.66880723786468))'
S2C_MSIL2A_20250812T172921_N0511_R055_T13SGB_20250812T225615.SAFE	geography'SRID=4326;POLYGON ((-102.72492653924301 37.925590547672954, -102.75467671035365 36.93665039764339, -101.52344565573672 36.90697181308603, -101.47744908495345 37.89483865903757, -102.72492653924301 37.925590547672954))'
